DATAFLOW,LAST UPDATE,freq,landuse,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT121,2015,3301,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT121,2016,3301,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT121,2017,3301,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT121,2018,3301,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT121,2019,3301,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT121,2020,3301,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT121,2021,3301,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT121,2022,3301,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT121,2023,3301,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT121,2024,3301,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT121,2025,3301,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT121,2026,3301,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT122,2013,3348,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT122,2014,3348,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT122,2015,3348,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT122,2016,3348,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT122,2017,3348,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT122,2018,3348,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT122,2019,3348,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT122,2020,3348,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT122,2021,3348,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT122,2022,3348,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT122,2023,3348,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT122,2024,3348,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT122,2025,3348,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT122,2026,3348,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT123,2013,1214,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT123,2014,1214,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT123,2015,1214,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT123,2016,1214,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT123,2017,1214,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT123,2018,1214,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT123,2019,1214,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT123,2020,1214,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT123,2021,1214,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT123,2022,1214,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT123,2023,1214,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT123,2024,1214,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT123,2025,1214,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT123,2026,1214,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT124,2013,4553,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT124,2014,4553,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT124,2015,4553,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT124,2016,4553,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT124,2017,4553,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT124,2018,4553,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT124,2019,4553,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT124,2020,4553,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT124,2021,4553,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT124,2022,4553,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT124,2023,4553,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT124,2024,4551,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT124,2025,4551,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT124,2026,4551,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT125,2013,2390,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT125,2014,2390,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT125,2015,2390,,
